City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Dicabisagan,PH,83.93,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
269,Cockburn Town,TC,81.82,few clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Meybod,IR,84.22,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
274,Faanui,PF,77.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
282,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
286,Susanville,US,75.04,broken clouds,40.4163,-120.653,Comfort Inn & Suites
288,Bac Lieu,VN,80.82,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
293,Santa Monica,US,84.24,clear sky,34.0195,-118.4912,Hotel Shangri-La
295,Fukue,JP,85.23,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
297,Aswan,EG,87.78,overcast clouds,24.0934,32.907,Nuba Nile
298,Kanbe,MM,84.25,overcast clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
302,Ushtobe,KZ,84.9,few clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
304,Alyangula,AU,82.31,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
305,Guiyang,CN,76.19,overcast clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
310,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
312,Ust-Nera,RU,75.7,overcast clouds,64.5667,143.2,Hotel Ust-Nera
317,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
320,Santa Cruz Del Norte,CU,80.28,broken clouds,23.1539,-81.9236,Rioger Art
322,Sinnamary,GF,77.23,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
325,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
326,Labuhan,ID,86.38,few clouds,-6.8844,112.2051,DoubleFAG
328,Namatanai,PG,85.33,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
329,Machilipatnam,IN,80.55,moderate rain,16.1667,81.1333,R&B Bungalow
330,Kieta,PG,84.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
333,Westport,US,79.09,clear sky,41.1415,-73.3579,The Westport Inn
338,Genhe,CN,76.73,scattered clouds,50.7833,121.5167,Companionship Hotel
348,Camocim,BR,75.63,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
349,Miri,MY,75.9,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
351,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
357,The Valley,AI,82.81,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
